Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Bayern Munich,11.4,21.2,14,12.6,3.3,7.04
2. Borussia Dortmund,9.1,25.4,19.4,14.8,3.7,7.01
3. Mainz 05,12.6,26.4,20.9,16.5,4.1,6.94
4. Bayer Leverkusen,9.3,21.5,17.5,15,2.4,6.91
5. Hamburger SV,11.9,21.8,16.4,14.8,3.3,6.85
6. VfB Stuttgart,14.9,21.6,19.5,15.6,2.8,6.85
7. Hoffenheim,12.9,25.4,17.6,19.2,3.6,6.82
8. Kaiserslautern,13.3,21.5,17.1,18.6,2.8,6.79
9. Werder Bremen,12.5,21.6,18.7,16.7,2.9,6.76
10. Schalke 04,13,19.9,17.4,17.1,2.1,6.75
11. Wolfsburg,14.4,20.7,16,17.5,4.2,6.74
12. Nuernberg,10.4,21.5,14.2,16.4,2.2,6.72
13. Eintracht Frankfurt,14.4,19.9,20,15.1,3.2,6.70
14. Borussia M.Gladbach,14.7,22.9,17.3,15.6,3.6,6.69
15. Hannover 96,13.3,20.1,15.3,17.5,3.2,6.67
16. FC Koln,15.8,21.4,15.7,18.2,2.8,6.65
17. Freiburg,14.4,18.7,18.3,16.4,3.3,6.64
18. St. Pauli,13.6,22.3,17.4,16.6,2.6,6.56
