R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Bayern Munich,49,8,17,3,4
2,Borussia Dortmund,44,6,13,0,4
3,Bayer Leverkusen,34,4,19,6,1
4,VfB Stuttgart,30,10,14,6,0
5,Kaiserslautern,29,2,15,1,1
6,FC Koln,29,1,15,2,0
7,Hamburger SV,28,4,10,3,1
8,Wolfsburg,27,4,12,0,0
9,Mainz 05,27,9,12,3,1
10,Hoffenheim,26,2,15,5,2
11,Hannover 96,25,7,13,3,1
12,Nuernberg,24,5,15,2,1
13,Freiburg,23,5,6,4,3
14,Borussia M.Gladbach,22,7,14,4,1
15,Schalke 04,20,3,12,2,1
16,St. Pauli,19,3,9,3,1
17,Werder Bremen,18,7,12,6,4
18,Eintracht Frankfurt,17,3,7,4,0
