Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Bayern Munich,15,6,12.5,15.9,7.04
2. Borussia Dortmund,16.9,6.9,9.6,14.7,7.01
3. Mainz 05,12.4,4.6,12.2,16.4,6.94
4. Bayer Leverkusen,14,5.1,10.1,18,6.91
5. Hamburger SV,12.5,4.4,15.1,16.5,6.85
6. VfB Stuttgart,13.7,5.2,11.2,16.3,6.85
7. Hoffenheim,14.1,5.1,11.4,15.6,6.82
8. Kaiserslautern,13.5,4.4,10.9,13.7,6.79
9. Werder Bremen,13.5,4.9,12.7,16.1,6.76
10. Schalke 04,11.5,4.1,11,14.2,6.75
11. Wolfsburg,11.9,4.1,8.7,15.1,6.74
12. Nuernberg,13.5,4.4,11.3,17.4,6.72
13. Eintracht Frankfurt,11.4,3.6,8.3,16.2,6.70
14. Borussia M.Gladbach,12.8,5,7.6,14.3,6.69
15. Hannover 96,10.9,4.3,8.1,14.1,6.67
16. FC Koln,11.5,4.2,7.7,16,6.65
17. Freiburg,10.7,3.4,8,14.2,6.64
18. St. Pauli,12.2,3.9,8.8,15.4,6.56
