R,Team,Left Side,Attempts from the middle,Right Side
1,Kaiserslautern,25%,58%,17%
2,Borussia Dortmund,22%,57%,21%
3,Nuernberg,22%,64%,14%
4,Hoffenheim,22%,60%,18%
5,Bayern Munich,21%,58%,21%
6,Schalke 04,21%,59%,20%
7,Mainz 05,21%,59%,20%
8,St. Pauli,21%,62%,18%
9,Borussia M.Gladbach,20%,63%,16%
10,Hannover 96,20%,63%,16%
11,FC Koln,20%,62%,18%
12,Wolfsburg,19%,62%,19%
13,Hamburger SV,19%,59%,22%
14,VfB Stuttgart,19%,61%,19%
15,Eintracht Frankfurt,19%,65%,16%
16,Bayer Leverkusen,17%,65%,18%
17,Freiburg,17%,65%,18%
18,Werder Bremen,16%,62%,22%
