R,Team,Left Side,Attempts from the middle,Right Side
1,Everton,24%,61%,15%
2,West Ham,20%,63%,17%
3,Chelsea,19%,64%,17%
4,Sunderland,19%,66%,15%
5,Cardiff,19%,65%,16%
6,West Bromwich Albion,19%,60%,20%
7,Norwich,19%,61%,19%
8,Arsenal,18%,63%,20%
9,Aston Villa,18%,64%,18%
10,Crystal Palace,18%,63%,19%
11,Liverpool,18%,63%,18%
12,Southampton,17%,64%,19%
13,Newcastle United,17%,69%,14%
14,Manchester City,17%,64%,19%
15,Fulham,17%,66%,17%
16,Hull,17%,68%,15%
17,Manchester United,16%,68%,17%
18,Tottenham,16%,66%,18%
19,Stoke,15%,68%,16%
20,Swansea,13%,69%,18%
