Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Liverpool,101,17.1,541,54.7,84.1,15.2,7.18
2. Manchester City,100,17.7,721,55.7,85.5,15.2,7.13
3. Chelsea,71,18.2,573,53.9,82.7,19.3,7.07
4. Arsenal,70,13.8,534,55.7,85.5,17.9,7.05
5. Everton,62,14.8,551,54.4,83.2,14.3,7.01
6. Manchester United,64,13.8,663,54.3,84.0,15.4,6.95
7. Southampton,53,14.1,600,56.5,81.1,17.4,6.91
8. Crystal Palace,33,10.9,582,41.1,70.2,23.2,6.85
9. Tottenham,51,15.4,664,53.4,81.1,15,6.84
10. Stoke,43,11.3,725,48.1,77.3,25.3,6.83
11. Newcastle United,43,15.2,526,49.8,79.4,20.6,6.82
12. Swansea,49,13,553,55.6,84.8,14.9,6.81
13. West Ham,38,11.1,625,44.2,73.1,21.2,6.79
14. West Bromwich Albion,43,12.8,670,47.2,77.1,18.2,6.75
15. Hull,38,11.3,534,45.9,76.1,18.9,6.72
16. Aston Villa,42,11.3,780,44.8,73.2,19.3,6.71
17. Sunderland,47,12.9,697,46.7,77.5,15,6.68
18. Norwich,31,12.3,622,46.4,75.9,15.8,6.66
19. Fulham,43,11.3,581,45.7,78.0,17.1,6.66
20. Cardiff,30,11,491,45.9,75.4,18.5,6.64
