Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Liverpool,12.6,22.3,12.3,10.8,2.1,7.18
2. Manchester City,9.4,19.9,13.1,10.4,1.6,7.13
3. Chelsea,10.3,19.2,9.8,11.2,2.8,7.07
4. Arsenal,11.9,18.8,14.3,9.2,1.9,7.05
5. Everton,13,19.4,12.2,9.6,2.1,7.01
6. Manchester United,11.9,17.8,15.6,10.6,2.6,6.95
7. Southampton,9.6,21.2,13.9,11.7,2.6,6.91
8. Crystal Palace,13.9,22.3,18.3,10.8,1.9,6.85
9. Tottenham,11.2,19.8,14.7,10.7,1.7,6.84
10. Stoke,14.4,20.8,12.6,12.8,2.1,6.83
11. Newcastle United,12.8,19.3,15.7,10.9,2.1,6.82
12. Swansea,12.7,17.7,16.9,9.9,2,6.81
13. West Ham,17.9,17.1,10.6,10.7,2,6.79
14. West Bromwich Albion,13,18.4,15.7,11.3,2.4,6.75
15. Hull,14,19,16.1,11.1,2.3,6.72
16. Aston Villa,13,19.7,12,12.9,2.2,6.71
17. Sunderland,16.7,18.5,10.9,11.8,1.8,6.68
18. Norwich,15.3,17.7,13.8,11.2,1.3,6.66
19. Fulham,17.7,18.5,13.1,10.2,2.3,6.66
20. Cardiff,18.2,16.3,13,9.1,2.1,6.64
