Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Liverpool,17.1,6.8,12.4,10.8,7.18
2. Manchester City,17.7,6.3,8.9,9,7.13
3. Chelsea,18.2,6,11.4,11.8,7.07
4. Arsenal,13.8,5.6,9,10.6,7.05
5. Everton,14.8,5.2,12.6,11.7,7.01
6. Manchester United,13.8,4.8,8.9,11.8,6.95
7. Southampton,14.1,4.7,8.9,9.9,6.91
8. Crystal Palace,10.9,3.8,7.7,9.7,6.85
9. Tottenham,15.4,5.1,11,10.2,6.84
10. Stoke,11.3,3.6,7.6,9.5,6.83
11. Newcastle United,15.2,4.8,10.1,9.2,6.82
12. Swansea,13,4.3,7.6,9.9,6.81
13. West Ham,11.1,3.2,7.4,9.7,6.79
14. West Bromwich Albion,12.8,3.9,7.8,11.4,6.75
15. Hull,11.3,3.5,5.8,10.5,6.72
16. Aston Villa,11.3,3.6,6.2,9.2,6.71
17. Sunderland,12.9,3.6,6.4,11.9,6.68
18. Norwich,12.3,3.9,6.7,10.3,6.66
19. Fulham,11.3,3.9,8,10.2,6.66
20. Cardiff,11,3.3,8.3,9.7,6.64
