R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Cardiff,52,8,12,2,0
2,Fulham,47,5,25,4,4
3,Aston Villa,43,2,7,5,4
4,Swansea,39,1,9,4,1
5,Norwich,39,6,10,4,3
6,Tottenham,37,2,6,3,3
7,West Bromwich Albion,37,2,13,5,2
8,Sunderland,36,1,15,2,6
9,Newcastle United,34,6,13,5,1
10,Crystal Palace,32,0,8,6,2
11,Hull,32,2,14,3,2
12,Southampton,30,3,9,3,1
13,Stoke,30,1,15,5,1
14,West Ham,28,2,14,6,1
15,Liverpool,28,3,10,3,6
16,Manchester United,26,2,11,3,1
17,Manchester City,23,2,9,1,2
18,Arsenal,21,5,8,5,2
19,Everton,21,2,9,3,4
20,Chelsea,15,0,9,1,2
