R,Team,Left Side,Middle of the pitch,Right Side
1,Napoli,46%,26%,29%
2,Lazio,42%,27%,30%
3,Bologna,41%,25%,34%
4,Crotone,41%,28%,31%
5,Torino,40%,25%,35%
6,Roma,39%,27%,34%
7,Udinese,38%,26%,36%
8,Juventus,38%,29%,33%
9,Atalanta,37%,23%,40%
10,Benevento,37%,27%,36%
11,Genoa,37%,25%,38%
12,Verona,36%,23%,41%
13,Chievo,36%,26%,38%
14,Sassuolo,36%,28%,36%
15,Inter,35%,27%,38%
16,Cagliari,35%,27%,38%
17,Sampdoria,34%,31%,35%
18,SPAL 2013,33%,25%,41%
19,AC Milan,32%,28%,40%
20,Fiorentina,31%,29%,40%
