R,Team,Fouls,Unprofessional,Dive,Other
1,Verona,82,1,0,18
2,Bologna,81,4,0,19
3,SPAL 2013,79,4,0,20
4,Fiorentina,74,4,0,14
5,Cagliari,69,3,0,26
6,Sassuolo,69,3,0,20
7,Lazio,68,0,0,15
8,Genoa,65,0,0,17
9,Benevento,65,2,0,14
10,Inter,61,2,0,7
11,Chievo,61,4,0,13
12,Torino,59,1,0,19
13,AC Milan,58,2,0,18
14,Atalanta,57,2,0,9
15,Udinese,56,4,0,16
16,Crotone,53,4,0,11
17,Sampdoria,52,3,0,15
18,Juventus,50,2,0,14
19,Napoli,41,5,0,14
20,Roma,38,1,0,12
