Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Juventus,8.3,13.6,11.1,11.4,2.1,7.05
2. Roma,11.1,14.4,12.6,10.4,1.9,6.96
3. Lazio,11.6,17.8,13,11.4,2.6,6.95
4. Napoli,8.6,15.8,9,9.2,2.1,6.94
5. Inter,11.6,16.6,10.6,11.9,2.5,6.92
6. Atalanta,10.7,19.1,12.5,12.9,2.1,6.88
7. Fiorentina,10.6,19.5,12.9,14.5,2.2,6.82
8. Torino,13.2,16,11.1,14.9,1.9,6.80
9. AC Milan,10.8,14,9.3,13,2.3,6.76
10. Sampdoria,14.4,16.4,8.8,11.2,1.4,6.70
11. Udinese,13.8,16.3,12.1,14,1.6,6.65
12. Bologna,14.1,17.4,12.2,12.7,1.7,6.64
13. Genoa,13.3,14.5,10.4,14.6,2.3,6.64
14. SPAL 2013,15.3,15.4,13.9,12.6,2.4,6.64
15. Chievo,15.5,14.3,11.7,12.6,2.7,6.61
16. Crotone,14.8,18.3,15.2,13.2,2.3,6.61
17. Sassuolo,12.4,14.9,13.3,12.8,2.1,6.60
18. Cagliari,14.2,16.8,11.4,16.1,2.2,6.59
19. Verona,18.7,17.5,14.3,13.4,2.1,6.55
20. Benevento,14.9,15.2,11.8,12.8,2.2,6.49
