Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Juventus,86,14.6,641,56.0,87.2,12.3,7.05
2. Roma,61,16.9,464,56.1,83.3,17.9,6.96
3. Lazio,89,14.6,737,51.0,82.7,12.9,6.95
4. Napoli,77,17.3,563,60.3,87.7,10.4,6.94
5. Inter,66,15.1,691,55.1,85.7,14.7,6.92
6. Atalanta,57,15.2,624,53.8,81.3,15.3,6.88
7. Fiorentina,54,16.3,845,51.9,81.0,15.2,6.82
8. Torino,54,11.9,705,51.2,80.0,16.7,6.80
9. AC Milan,56,16.1,677,54.6,85.3,12.1,6.76
10. Sampdoria,56,12.7,653,52.5,82.4,12.6,6.70
11. Udinese,48,11.6,724,45.9,77.8,14.8,6.65
12. Bologna,40,9.4,946,47.7,79.1,16.1,6.64
13. Genoa,33,11,775,46.9,77.9,15.5,6.64
14. SPAL 2013,39,9.8,974,46.2,79.4,14,6.64
15. Chievo,36,10.3,734,45.6,77.4,17.9,6.61
16. Crotone,40,10,652,42.4,70.7,17.1,6.61
17. Sassuolo,29,13.1,817,44.8,75.6,16.2,6.60
18. Cagliari,33,10,886,45.8,75.3,20.3,6.59
19. Verona,30,9.5,916,44.1,75.4,15.1,6.55
20. Benevento,33,12.4,707,48.1,81.6,11.2,6.49
