R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Crotone,9%,55%,35%
2,Bologna,8%,55%,37%
3,Fiorentina,8%,48%,44%
4,Cagliari,8%,52%,40%
5,Atalanta,8%,49%,43%
6,Benevento,8%,52%,40%
7,Sassuolo,7%,49%,44%
8,Napoli,7%,48%,45%
9,Sampdoria,7%,55%,38%
10,Torino,6%,47%,47%
11,AC Milan,6%,51%,43%
12,Lazio,6%,47%,47%
13,Verona,6%,55%,39%
14,Udinese,6%,53%,42%
15,SPAL 2013,6%,50%,44%
16,Juventus,6%,48%,46%
17,Genoa,6%,46%,48%
18,Chievo,6%,50%,43%
19,Inter,4%,48%,48%
20,Roma,4%,53%,43%
