R,Team,Own Third,Middle Third,Opposition Third
1,Verona,32%,45%,23%
2,Bologna,31%,46%,23%
3,Benevento,31%,45%,24%
4,SPAL 2013,31%,45%,24%
5,Crotone,30%,46%,25%
6,Cagliari,29%,44%,26%
7,Chievo,29%,45%,26%
8,Torino,28%,46%,26%
9,Sassuolo,28%,43%,29%
10,Udinese,28%,47%,24%
11,Genoa,28%,46%,27%
12,Fiorentina,27%,45%,28%
13,Sampdoria,27%,43%,31%
14,Inter,26%,45%,29%
15,Lazio,26%,47%,28%
16,AC Milan,25%,46%,29%
17,Juventus,25%,48%,26%
18,Roma,24%,44%,32%
19,Atalanta,24%,45%,30%
20,Napoli,19%,49%,32%
