R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Dijon,41,6,10,5,1
2,Sochaux,36,2,14,8,0
3,Auxerre,34,6,10,7,0
4,Thonon Evian Grand Geneve,33,0,13,8,1
5,Valenciennes,32,2,12,2,2
6,Lorient,31,1,11,4,2
7,AC Ajaccio,31,3,21,5,1
8,Caen,28,9,13,8,1
9,Nice,27,2,8,7,2
10,Lyon,26,5,10,7,3
11,Saint-Etienne,25,5,9,5,1
12,Nancy,23,2,16,6,1
13,Lille,23,3,8,3,2
14,Rennes,22,4,10,5,3
15,Brest,22,2,11,3,0
16,Paris Saint-Germain,21,2,15,3,0
17,Marseille,21,4,8,6,2
18,Toulouse,20,2,8,3,1
19,Montpellier,20,1,10,2,1
20,Bordeaux,20,2,15,3,1
