R,Team,Left Side,Attempts from the middle,Right Side
1,Brest,26%,55%,19%
2,Saint-Etienne,25%,56%,19%
3,Nancy,24%,59%,16%
4,Lorient,23%,53%,24%
5,Toulouse,23%,59%,18%
6,Auxerre,22%,61%,17%
7,Rennes,21%,61%,18%
8,Montpellier,21%,63%,16%
9,Thonon Evian Grand Geneve,21%,59%,20%
10,Nice,20%,65%,15%
11,Caen,20%,65%,15%
12,Sochaux,19%,66%,16%
13,Dijon,19%,62%,20%
14,Valenciennes,19%,63%,18%
15,Paris Saint-Germain,18%,61%,21%
16,Bordeaux,17%,65%,18%
17,Marseille,16%,70%,13%
18,Lille,16%,65%,19%
19,Lyon,15%,67%,17%
20,AC Ajaccio,14%,63%,23%
