Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Montpellier,11.5,18.4,20.9,16.1,2.7,6.99
2. Paris Saint-Germain,13,20.4,19.5,15.4,2.6,6.95
3. Lille,10.1,18,16.2,14.4,2.7,6.92
4. Toulouse,11.5,21.2,24.4,17.9,1.7,6.91
5. Marseille,9.3,18.5,20.5,15.4,1.7,6.88
6. Rennes,10.5,19.9,18,15,2.2,6.87
7. Bordeaux,11,20.3,18.8,15.3,2.1,6.82
8. Saint-Etienne,11.4,21.2,18.7,14.5,1.9,6.81
9. Lyon,11.9,17.1,16.5,15.7,2.7,6.77
10. Brest,14.1,20.3,15.8,17.2,1.9,6.77
11. Nancy,13.1,20,20.1,16.2,2.1,6.76
12. Lorient,10.9,18.1,16.9,12.3,3,6.75
13. Nice,12.5,17,18.5,16.1,2.5,6.75
14. Auxerre,12,17.8,20.7,16.3,2.5,6.73
15. Thonon Evian Grand Geneve,14.6,19.2,19.7,16.1,2.2,6.70
16. Sochaux,13.8,16.4,15.3,14,1.9,6.69
17. Caen,14.6,24,19.1,17.9,2.3,6.69
18. Valenciennes,11.8,20.9,15,16.9,2.3,6.67
19. Dijon,14.8,20.6,16.8,15.3,2.4,6.66
20. AC Ajaccio,16.9,20,15.9,16,3.1,6.64
