R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Saint-Etienne,9%,51%,40%
2,Lorient,8%,48%,44%
3,Auxerre,8%,48%,44%
4,Valenciennes,8%,52%,41%
5,Lyon,7%,47%,46%
6,Caen,7%,46%,47%
7,Paris Saint-Germain,6%,58%,36%
8,Bordeaux,6%,51%,43%
9,Montpellier,6%,45%,49%
10,Dijon,6%,43%,51%
11,Nancy,5%,41%,54%
12,Sochaux,5%,45%,50%
13,Thonon Evian Grand Geneve,5%,49%,46%
14,Toulouse,4%,45%,50%
15,Marseille,4%,51%,45%
16,Nice,4%,48%,48%
17,AC Ajaccio,4%,51%,45%
18,Lille,4%,54%,43%
19,Rennes,3%,50%,47%
20,Brest,3%,44%,54%
