R,Team,Left Side,Middle of the pitch,Right Side
1,Lyon,40%,26%,33%
2,Bordeaux,40%,27%,34%
3,Saint-Etienne,38%,22%,40%
4,Marseille,38%,24%,38%
5,Nancy,37%,29%,34%
6,Sochaux,37%,25%,38%
7,Toulouse,37%,26%,37%
8,Paris Saint-Germain,37%,26%,36%
9,Thonon Evian Grand Geneve,37%,27%,37%
10,Montpellier,36%,28%,36%
11,Nice,36%,28%,36%
12,Caen,35%,28%,37%
13,Auxerre,35%,29%,36%
14,Valenciennes,35%,24%,41%
15,Lorient,34%,27%,39%
16,Brest,34%,25%,41%
17,AC Ajaccio,33%,28%,39%
18,Dijon,33%,30%,37%
19,Lille,32%,28%,39%
20,Rennes,31%,31%,38%
