R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Lille,22,2,56,452
2,Paris Saint-Germain,18,7,56,422
3,Marseille,28,2,56,397
4,Lyon,21,3,69,386
5,Lorient,18,2,58,385
6,Rennes,18,5,61,376
7,Toulouse,22,4,58,373
8,Bordeaux,24,1,62,357
9,Montpellier,23,2,57,354
10,Saint-Etienne,27,2,61,337
11,Thonon Evian Grand Geneve,17,2,74,324
12,Valenciennes,29,1,65,316
13,AC Ajaccio,18,2,59,314
14,Nancy,17,3,56,311
15,Brest,18,2,58,310
16,Nice,23,2,64,308
17,Sochaux,22,2,68,303
18,Caen,22,2,60,295
19,Auxerre,20,2,59,293
20,Dijon,21,1,61,236
