R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,AC Ajaccio,8%,47%,46%
2,Nancy,7%,49%,45%
3,Bordeaux,7%,48%,45%
4,Auxerre,7%,49%,44%
5,Caen,7%,51%,42%
6,Saint-Etienne,6%,52%,43%
7,Paris Saint-Germain,6%,40%,53%
8,Rennes,6%,51%,44%
9,Marseille,6%,51%,43%
10,Lille,6%,51%,44%
11,Brest,6%,47%,47%
12,Sochaux,5%,52%,43%
13,Toulouse,5%,48%,47%
14,Montpellier,5%,46%,49%
15,Dijon,5%,46%,49%
16,Thonon Evian Grand Geneve,5%,50%,46%
17,Lyon,4%,52%,44%
18,Lorient,4%,46%,50%
19,Nice,4%,44%,52%
20,Valenciennes,3%,52%,45%
