Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Montpellier,15.7,5.8,8.1,16.1,6.99
2. Paris Saint-Germain,14,5.2,7.8,14.6,6.95
3. Lille,14.7,5.7,6.6,17.8,6.92
4. Toulouse,12.3,4,7.4,14.7,6.91
5. Marseille,15.5,5.1,7.7,17.5,6.88
6. Rennes,14.5,4.7,7.9,15.1,6.87
7. Bordeaux,12.3,4.2,4.9,16.4,6.82
8. Saint-Etienne,12.8,4.4,4.8,12.8,6.81
9. Lyon,13.8,5,5.2,14.4,6.77
10. Brest,11.1,3.3,5.5,13.8,6.77
11. Nancy,11.7,3.8,8.6,14.6,6.76
12. Lorient,11.6,3.8,6.7,15.6,6.75
13. Nice,12.8,3.9,5.6,13.2,6.75
14. Auxerre,11.8,4.3,6.5,12.4,6.73
15. Thonon Evian Grand Geneve,10.3,3.9,3.8,13.5,6.70
16. Sochaux,10.1,3.7,6.3,15.1,6.69
17. Caen,11.1,3.3,5.7,13.9,6.69
18. Valenciennes,13,4.2,5.1,13.6,6.67
19. Dijon,10.6,3.3,6.3,15.4,6.66
20. AC Ajaccio,9.6,3.3,3.9,14.9,6.64
