R,Team,Left Side,Attempts from the middle,Right Side
1,Nancy,25%,59%,16%
2,Dijon,23%,61%,16%
3,Montpellier,22%,62%,16%
4,Lille,22%,61%,17%
5,Sochaux,21%,60%,19%
6,Lyon,21%,61%,18%
7,Paris Saint-Germain,21%,61%,18%
8,Toulouse,20%,61%,19%
9,Saint-Etienne,20%,63%,17%
10,Lorient,20%,61%,19%
11,Caen,20%,63%,17%
12,AC Ajaccio,20%,64%,16%
13,Auxerre,19%,63%,17%
14,Valenciennes,19%,58%,23%
15,Thonon Evian Grand Geneve,19%,64%,16%
16,Brest,19%,64%,18%
17,Rennes,16%,66%,18%
18,Bordeaux,16%,67%,17%
19,Marseille,16%,63%,21%
20,Nice,16%,62%,22%
