Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Montpellier,68,15.7,687,51.5,80.8,9.7,6.99
2. Paris Saint-Germain,75,14,794,53.8,80.8,12.6,6.95
3. Lille,72,14.7,664,57.2,83.1,10.8,6.92
4. Toulouse,36,12.3,717,53.2,76.8,11,6.91
5. Marseille,45,15.5,735,54.6,79.4,11.4,6.88
6. Rennes,53,14.5,673,53.6,79.7,11.9,6.87
7. Bordeaux,53,12.3,624,50.9,77.3,12.2,6.82
8. Saint-Etienne,46,12.8,715,17.5,78.0,11.5,6.81
9. Lyon,65,13.8,616,25.4,79.7,9.9,6.77
10. Brest,31,11.1,725,21.2,74.6,10.8,6.77
11. Nancy,38,11.7,602,44.6,73.4,11.7,6.76
12. Lorient,36,11.6,664,23.6,80.2,8.1,6.75
13. Nice,39,12.8,677,48.0,75.7,10.6,6.75
14. Auxerre,46,11.8,855,45.1,73.1,13.1,6.73
15. Thonon Evian Grand Geneve,54,10.3,826,49.0,74.4,9.4,6.70
16. Sochaux,38,10.1,487,47.8,76.7,11.8,6.69
17. Caen,39,11.1,696,46.7,71.7,9.3,6.69
18. Valenciennes,40,13,674,49.5,74.3,10.5,6.67
19. Dijon,38,10.6,807,43.5,65.2,14.4,6.66
20. AC Ajaccio,40,9.6,929,48.0,72.8,10.2,6.64
