R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Paris Saint-Germain,43,9,12,10,1
2,Montpellier,39,6,14,7,2
3,Rennes,37,1,8,6,1
4,Saint-Etienne,33,2,8,2,4
5,Lille,33,5,20,12,2
6,Lyon,32,6,18,6,2
7,Thonon Evian Grand Geneve,32,3,12,5,2
8,Sochaux,27,0,8,3,2
9,Bordeaux,27,4,15,7,0
10,Auxerre,27,5,13,1,0
11,Marseille,24,3,14,3,1
12,Dijon,23,2,10,3,0
13,Caen,23,1,9,6,0
14,AC Ajaccio,23,0,12,4,1
15,Nancy,22,4,8,3,1
16,Valenciennes,22,3,8,5,2
17,Lorient,18,3,10,3,1
18,Toulouse,18,2,12,3,2
19,Nice,17,3,11,7,1
20,Brest,16,1,10,4,0
