R,Team,Own Third,Middle Third,Opposition Third
1,AC Ajaccio,32%,44%,24%
2,Brest,31%,44%,25%
3,Thonon Evian Grand Geneve,31%,43%,26%
4,Nancy,29%,47%,25%
5,Sochaux,29%,43%,27%
6,Dijon,29%,42%,28%
7,Caen,28%,44%,27%
8,Paris Saint-Germain,28%,45%,27%
9,Auxerre,28%,46%,26%
10,Nice,28%,45%,27%
11,Saint-Etienne,27%,44%,28%
12,Toulouse,27%,45%,29%
13,Lyon,27%,46%,27%
14,Lorient,26%,45%,29%
15,Rennes,26%,45%,29%
16,Montpellier,26%,46%,28%
17,Lille,26%,46%,29%
18,Valenciennes,26%,44%,30%
19,Bordeaux,25%,46%,29%
20,Marseille,25%,45%,30%
