R,Team,Own Third,Middle Third,Opposition Third
1,Lecce,32%,44%,24%
2,Parma Calcio 1913,32%,44%,25%
3,Cagliari,31%,44%,25%
4,Brescia,31%,43%,26%
5,Genoa,31%,43%,26%
6,Torino,30%,43%,27%
7,Udinese,30%,46%,24%
8,SPAL 2013,30%,43%,26%
9,Bologna,28%,44%,29%
10,Fiorentina,28%,43%,29%
11,Lazio,28%,43%,29%
12,Sassuolo,28%,44%,29%
13,Verona,27%,45%,27%
14,Inter,27%,43%,30%
15,Sampdoria,27%,45%,29%
16,AC Milan,25%,44%,29%
17,Roma,25%,43%,32%
18,Juventus,24%,44%,32%
19,Napoli,24%,45%,31%
20,Atalanta,23%,45%,32%
