Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Atalanta,18.7,6.3,1.4,11,6.93
2. Juventus,17.9,7.8,1.1,9,6.88
3. Inter,16.3,5.8,1.3,9.1,6.85
4. Lazio,15.3,5.1,0.6,9.6,6.84
5. Roma,16.9,6.8,1.3,8.8,6.80
6. AC Milan,16.3,7.2,0.9,8.3,6.79
7. Sassuolo,14.6,6.8,0.6,7.2,6.74
8. Napoli,18.1,8,1.1,9,6.73
9. Torino,11.7,4.4,0.8,6.5,6.70
10. Parma Calcio 1913,12.2,5.2,0.7,6.3,6.67
11. Fiorentina,14.4,5.4,0.9,8.2,6.67
12. Verona,11.7,3.9,1.1,6.8,6.66
13. Udinese,12.3,5,0.8,6.6,6.64
14. Cagliari,11.7,5.4,0.9,5.4,6.62
15. Bologna,14.6,6.3,1.2,7.1,6.61
16. Sampdoria,14.8,6.4,0.5,7.8,6.60
17. Lecce,13.9,6,0.9,7,6.55
18. Genoa,11.4,4.7,0.7,6,6.54
19. Brescia,11,4.4,0.8,5.8,6.48
20. SPAL 2013,12.3,5.4,0.5,6.4,6.48
