Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Atalanta,11,16.5,11,14.1,1.3,6.93
2. Juventus,12.4,14.2,9.7,13.4,1.9,6.88
3. Inter,12,13.8,9.7,14.8,2.5,6.85
4. Lazio,13.5,14.4,9.9,12.2,1.9,6.84
5. Roma,11.3,13,10.5,14.2,1.2,6.80
6. AC Milan,11.7,15.3,11,14.3,1.7,6.79
7. Sassuolo,13.6,14.6,9.2,13.1,1.7,6.74
8. Napoli,10.7,12.8,8.7,11.1,1.4,6.73
9. Torino,16.3,15.1,13,15.9,1.7,6.70
10. Fiorentina,11.6,15.1,9.1,14.4,1.3,6.67
11. Parma Calcio 1913,17.8,16.2,10.3,13.7,1.6,6.67
12. Verona,15.6,12.8,10.4,14.6,2.4,6.66
13. Udinese,15.5,15.7,9.9,13.3,1.7,6.64
14. Cagliari,16.2,14.7,8.9,14.1,1.5,6.62
15. Bologna,14.2,15.1,10.8,15.7,2.2,6.61
16. Sampdoria,13.4,15.3,10.4,14.8,1.7,6.60
17. Lecce,18.4,13.8,10.1,12.3,1.8,6.55
18. Genoa,15.5,14.5,10.1,15,1.5,6.54
19. Brescia,18.3,13.3,9.5,13.3,1.8,6.48
20. SPAL 2013,17.3,14.6,10.4,14.2,1.4,6.48
