R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Atalanta,67,3,19,7,2
2,Sassuolo,53,4,7,5,0
3,Inter,50,4,16,10,1
4,Lazio,44,9,9,15,2
5,Napoli,44,0,11,5,1
6,Roma,42,5,14,12,4
7,Juventus,40,6,14,13,3
8,AC Milan,38,4,10,8,3
9,Cagliari,35,4,7,4,2
10,Parma Calcio 1913,32,9,8,4,3
11,Bologna,30,4,9,5,4
12,Sampdoria,29,1,9,9,0
13,Lecce,28,1,12,11,0
14,Verona,27,2,8,8,2
15,Fiorentina,26,2,11,9,3
16,Torino,25,3,9,7,2
17,Udinese,25,7,5,0,0
18,Genoa,25,3,7,11,1
19,Brescia,19,0,11,4,1
20,SPAL 2013,16,1,5,5,0
