Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Atalanta,98,18.7,782,55.4,83.9,16.8,6.93
2. Juventus,76,17.9,833,56.4,88.0,11.8,6.88
3. Inter,81,16.3,987,52.8,85.1,14.2,6.85
4. Lazio,79,15.3,973,50.1,84.2,12.4,6.84
5. Roma,77,16.9,1037,52.0,84.7,14.4,6.80
6. AC Milan,63,16.3,936,53.6,84.5,14.6,6.79
7. Sassuolo,69,14.6,973,56.1,86.8,9.4,6.74
8. Napoli,61,18.1,742,57.2,88.2,10.8,6.73
9. Torino,46,11.7,877,48.5,79.7,19.3,6.70
10. Fiorentina,51,14.4,996,48.2,81.6,12.8,6.67
11. Parma Calcio 1913,56,12.2,811,45.3,79.4,15.1,6.67
12. Verona,47,11.7,837,49.9,78.1,19.6,6.66
13. Udinese,37,12.3,733,45.9,81.2,13.3,6.64
14. Cagliari,52,11.7,1036,46.6,80.5,14.4,6.62
15. Bologna,52,14.6,1037,51.8,81.7,17.8,6.61
16. Sampdoria,48,14.8,1017,44.4,77.5,16.3,6.60
17. Lecce,52,13.9,935,46.0,81.8,13.1,6.55
18. Genoa,47,11.4,9710,49.3,81.2,16.5,6.54
19. Brescia,35,11,896,42.9,75.5,13.7,6.48
20. SPAL 2013,27,12.3,954,47.6,81.1,15.1,6.48
