R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Verona,9%,58%,33%
2,Bologna,8%,49%,43%
3,Inter,8%,56%,36%
4,Brescia,8%,53%,40%
5,Atalanta,8%,59%,34%
6,Torino,7%,55%,38%
7,Cagliari,7%,46%,47%
8,Roma,7%,52%,40%
9,Fiorentina,6%,57%,37%
10,Udinese,6%,53%,40%
11,Juventus,6%,50%,44%
12,Lecce,6%,51%,43%
13,Napoli,6%,50%,44%
14,Parma Calcio 1913,6%,52%,42%
15,Genoa,6%,53%,41%
16,AC Milan,5%,51%,44%
17,Lazio,4%,63%,33%
18,SPAL 2013,4%,52%,44%
19,Sampdoria,4%,53%,44%
20,Sassuolo,4%,49%,47%
