R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Carpi,25,1,72,470
2,Palermo FC,25,1,62,454
3,Bologna,24,1,65,434
4,Chievo,23,1,68,424
5,Frosinone,28,1,63,417
6,Udinese,22,1,66,415
7,Verona,22,2,64,413
8,Torino,18,1,59,401
9,Atalanta,21,2,62,387
10,Sampdoria,26,1,61,383
11,Genoa,21,1,66,362
12,Empoli,22,1,77,357
13,Inter,19,1,60,355
14,Juventus,14,0,64,354
15,Sassuolo,22,1,67,354
16,AC Milan,20,1,65,343
17,Lazio,16,1,70,333
18,Roma,18,1,64,328
19,Napoli,13,1,73,318
20,Fiorentina,18,1,63,301
