Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Juventus,15.8,5.7,14.3,15.4,7.07
2. Napoli,17.3,6.4,9,12.5,6.97
3. Roma,15.3,5.7,9.1,12.1,6.94
4. Fiorentina,15.1,4.8,10.9,16,6.87
5. AC Milan,14.4,4.6,9.6,15.5,6.86
6. Genoa,12.3,3.9,11.6,14.7,6.86
7. Inter,13.6,4.4,11.6,13.2,6.85
8. Sassuolo,12.8,4,8.1,16.8,6.81
9. Lazio,13.6,3.9,10.1,12.7,6.79
10. Chievo,11.2,3.4,5.2,14.2,6.76
11. Atalanta,11.9,3.6,7.5,15.5,6.76
12. Torino,12.4,4.6,10.3,13.2,6.75
13. Empoli,12.6,3.9,11,18.2,6.75
14. Bologna,10.1,3,8.1,13.5,6.73
15. Sampdoria,11.4,4.1,9.6,14.6,6.71
16. Carpi,11.3,3.5,8.1,14.4,6.71
17. Udinese,11.7,3.8,8.6,14.1,6.68
18. Palermo FC,10.8,3.2,9.3,14.6,6.67
19. Verona,11.9,3.8,7.4,14.5,6.61
20. Frosinone,12.8,3.3,7.2,14.9,6.60
