Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Juventus,8.9,15.9,15.9,15.1,2.8,7.07
2. Napoli,9,18,12.5,11.6,2.9,6.97
3. Roma,11.3,14.5,15,14,2.1,6.94
4. Fiorentina,9.1,17.3,16.9,14.1,1.8,6.87
5. AC Milan,11.9,18.5,19.6,15.4,2.9,6.86
6. Genoa,13.5,18.6,20.3,16.7,2.1,6.86
7. Inter,12.3,18.2,14.4,13.2,2.2,6.85
8. Sassuolo,12.4,17.1,20.1,15,2,6.81
9. Lazio,11.2,17.8,22.3,15.7,2.3,6.79
10. Chievo,15.6,17.5,20.5,16.6,3.1,6.76
11. Atalanta,12.3,20.8,21.2,16.8,1.8,6.76
12. Torino,11.7,17.6,17.8,17.2,2.4,6.75
13. Empoli,14,15.6,18.2,13.3,2.1,6.75
14. Bologna,12.3,18.9,21.9,14.1,2.4,6.73
15. Sampdoria,15.8,17.1,14.7,14.6,2.7,6.71
16. Carpi,13.3,21.5,20.6,16.7,2.2,6.71
17. Udinese,13.7,16.4,20,15.1,2.4,6.68
18. Palermo FC,16.1,18.2,16.8,16.3,2.5,6.67
19. Verona,13.7,18.1,15.3,16.1,2.1,6.61
20. Frosinone,20.4,17.2,16.6,16.6,2.7,6.60
