R,Team,Left Side,Attempts from the middle,Right Side
1,Empoli,26%,58%,16%
2,Napoli,24%,60%,16%
3,Carpi,23%,61%,16%
4,Inter,22%,64%,13%
5,Frosinone,22%,59%,18%
6,Atalanta,22%,64%,15%
7,Juventus,21%,63%,17%
8,Bologna,20%,63%,18%
9,Palermo FC,20%,61%,19%
10,Fiorentina,19%,60%,21%
11,AC Milan,19%,62%,19%
12,Sampdoria,19%,61%,20%
13,Udinese,19%,64%,17%
14,Verona,18%,68%,13%
15,Chievo,18%,62%,19%
16,Genoa,18%,63%,19%
17,Lazio,17%,64%,19%
18,Sassuolo,17%,66%,17%
19,Roma,16%,62%,22%
20,Torino,15%,61%,24%
