R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Bologna,7%,51%,42%
2,Roma,7%,43%,51%
3,Udinese,7%,49%,44%
4,Atalanta,7%,48%,45%
5,Palermo FC,7%,49%,44%
6,Genoa,7%,47%,45%
7,Verona,6%,49%,45%
8,Inter,6%,51%,43%
9,Sampdoria,6%,52%,42%
10,Frosinone,6%,47%,48%
11,Carpi,6%,50%,44%
12,Torino,5%,47%,48%
13,Fiorentina,5%,53%,42%
14,Empoli,5%,46%,49%
15,Sassuolo,5%,48%,47%
16,Lazio,4%,48%,48%
17,AC Milan,4%,47%,49%
18,Juventus,4%,39%,57%
19,Chievo,4%,48%,48%
20,Napoli,3%,45%,52%
