Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Juventus,15.8,7.5,1.1,7.2,7.07
2. Napoli,17.3,7.7,0.8,8.8,6.97
3. Roma,15.3,6.3,0.6,8.4,6.94
4. Fiorentina,15.1,8.2,0.8,6.1,6.87
5. AC Milan,14.4,6.8,0.8,6.8,6.86
6. Genoa,12.3,5.6,0.7,6.1,6.86
7. Inter,13.6,6.3,0.9,6.3,6.85
8. Sassuolo,12.8,6.3,0.7,5.8,6.81
9. Lazio,13.6,6,0.9,6.6,6.79
10. Atalanta,11.9,5.5,0.6,5.9,6.76
11. Chievo,11.2,5.1,0.8,5.3,6.76
12. Empoli,12.6,6.8,0.4,5.4,6.75
13. Torino,12.4,5.2,0.7,6.5,6.75
14. Bologna,10.1,5.1,0.4,4.6,6.73
15. Sampdoria,11.4,5.6,0.4,5.3,6.71
16. Carpi,11.3,4.6,0.6,6.1,6.71
17. Udinese,11.7,4.5,1,6.2,6.68
18. Palermo FC,10.8,4.9,0.9,5,6.67
19. Verona,11.9,4.8,0.8,6.3,6.61
20. Frosinone,12.8,6.9,0.4,5.5,6.60
