Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Bayern Munich,17.7,6,1.4,10.3,7.13
2. Schalke 04,11.9,4.4,0.6,7,6.88
3. Borussia Dortmund,14.3,4.4,1.2,8.7,6.87
4. Bayer Leverkusen,15,5.5,0.9,8.6,6.84
5. RB Leipzig,14.4,5.4,1.1,7.9,6.84
6. Hoffenheim,14,5.3,1.1,7.6,6.82
7. Borussia M.Gladbach,13.4,4.2,1,8.2,6.77
8. Augsburg,12.8,4.9,0.6,7.3,6.75
9. VfB Stuttgart,10.7,4.2,0.6,5.9,6.75
10. Eintracht Frankfurt,11.5,3.7,0.9,6.9,6.75
11. Hertha Berlin,9.4,3.5,0.8,5.1,6.74
12. Hannover 96,12.8,5.1,0.8,6.9,6.73
13. Werder Bremen,12.9,5.2,0.6,7,6.71
14. Mainz 05,12.2,6.1,0.6,5.5,6.68
15. Wolfsburg,10.4,4.6,0.4,5.4,6.67
16. Freiburg,11.3,4.5,0.7,6,6.63
17. FC Koln,11.4,5,0.9,5.6,6.60
18. Hamburger SV,11.6,4.8,0.5,6.4,6.60
