R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Bayern Munich,65,3,16,6,2
2,Borussia Dortmund,44,6,9,3,2
3,Hoffenheim,44,3,13,4,2
4,Bayer Leverkusen,36,8,11,3,0
5,RB Leipzig,36,4,13,4,0
6,Borussia M.Gladbach,27,3,10,6,1
7,Eintracht Frankfurt,25,4,13,2,1
8,Wolfsburg,22,3,10,1,0
9,Mainz 05,22,3,9,4,0
10,Hertha Berlin,22,3,14,4,0
11,Hannover 96,22,4,14,4,0
12,Schalke 04,21,5,14,10,3
13,Augsburg,20,5,12,4,2
14,Werder Bremen,19,4,11,0,3
15,FC Koln,17,2,11,3,2
16,VfB Stuttgart,16,8,10,1,1
17,Hamburger SV,14,1,10,3,1
18,Freiburg,13,2,11,6,0
