Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Manchester United,13.3,21.1,15.1,10.2,2.3,7.15
2. Manchester City,10.4,18.3,16.6,11.3,2.2,7.12
3. Tottenham,12.2,19.3,18.8,9.9,2.4,7.04
4. Arsenal,10.3,19.7,15.9,10.7,2.3,6.94
5. Chelsea,11.8,18.4,16.7,11.3,1.8,6.90
6. Fulham,15.4,17.6,16.9,9.9,2.2,6.83
7. Liverpool,11.1,19.1,13.3,10.6,3.4,6.82
8. Sunderland,16.2,21.7,17.2,10.8,2,6.81
9. Swansea,15.7,18.6,15.3,8.4,1.8,6.80
10. Newcastle United,14.3,19.6,16.3,10.8,2.6,6.78
11. Aston Villa,15.2,20.4,19.5,10.9,2.2,6.77
12. Everton,12.4,16.4,16.3,12.7,3.1,6.75
13. West Bromwich Albion,15.5,18,14.6,11.1,3.4,6.73
14. Queens Park Rangers,16.5,20.1,14.4,10.8,2.2,6.71
15. Bolton,17.3,19.2,18.6,12.2,1.4,6.68
16. Norwich,16.2,18.2,12.3,10.7,1.9,6.67
17. Wigan,14.7,19.2,15.2,12.8,1.9,6.66
18. Stoke,14.2,17.2,12.1,11.9,1.6,6.65
19. Blackburn,16.2,18.2,18.9,12.1,1.6,6.63
20. Wolverhampton Wanderers,17.6,16.2,15.7,9.9,2.2,6.58
