Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Manchester United,17,6.7,1.6,8.8,7.15
2. Manchester City,19.4,7.6,1.5,10.4,7.12
3. Tottenham,18.4,8.7,1.1,8.7,7.04
4. Arsenal,16.8,5.8,1.4,9.5,6.94
5. Chelsea,17.7,8.5,1,8.1,6.90
6. Fulham,14.2,6.8,0.8,6.7,6.83
7. Liverpool,17.6,7.3,1.3,9,6.82
8. Sunderland,12.1,5.7,0.8,5.5,6.81
9. Swansea,12.4,5.8,0.8,5.8,6.80
10. Newcastle United,12.9,6.2,0.8,5.9,6.78
11. Aston Villa,11.5,4.7,0.8,6,6.77
12. Everton,13.7,5.9,0.8,6.9,6.75
13. West Bromwich Albion,14.3,6.4,1.1,6.8,6.73
14. Queens Park Rangers,14.2,7.8,1,5.4,6.71
15. Bolton,13,5.8,0.6,6.6,6.68
16. Norwich,13.5,6.1,1.1,6.3,6.67
17. Wigan,13.7,6.8,0.8,6.1,6.66
18. Stoke,9.9,3.6,1.6,4.7,6.65
19. Blackburn,11.9,5.6,1,5.3,6.63
20. Wolverhampton Wanderers,12.4,5.1,1,6.4,6.58
