Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Manchester United,17,6.4,8.7,10.2,7.15
2. Manchester City,19.4,6.6,8.6,9.8,7.12
3. Tottenham,18.4,6.1,8.6,10.2,7.04
4. Arsenal,16.8,6.2,9.8,10.8,6.94
5. Chelsea,17.7,5.9,7.5,11,6.90
6. Fulham,14.2,5.1,6.4,11.1,6.83
7. Liverpool,17.6,5.4,7.5,10.1,6.82
8. Sunderland,12.1,3.7,5.4,10.1,6.81
9. Swansea,12.4,3.8,8,11.4,6.80
10. Newcastle United,12.9,4.1,6.3,11.4,6.78
11. Aston Villa,11.5,3.6,5.6,9.4,6.77
12. Everton,13.7,4.3,4.4,10.6,6.75
13. West Bromwich Albion,14.3,4.4,6.3,9.4,6.73
14. Queens Park Rangers,14.2,3.9,5.9,11.7,6.71
15. Bolton,13,4.3,6.1,9.3,6.68
16. Norwich,13.5,4.3,3,8.7,6.67
17. Wigan,13.7,4.3,7.6,11.1,6.66
18. Stoke,9.9,2.5,3.7,10.4,6.65
19. Blackburn,11.9,3.8,6.2,9.6,6.63
20. Wolverhampton Wanderers,12.4,4,4.3,10.3,6.58
