R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Atletico Madrid,10%,57%,33%
2,Villarreal,10%,66%,24%
3,Rayo Vallecano,9%,50%,41%
4,Barcelona,9%,59%,32%
5,Cadiz,9%,55%,36%
6,Real Betis,8%,53%,39%
7,Levante,8%,59%,33%
8,Athletic Bilbao,7%,62%,31%
9,Celta Vigo,7%,54%,39%
10,Real Sociedad,7%,63%,31%
11,Sevilla,7%,62%,31%
12,Elche,7%,57%,36%
13,Mallorca,6%,46%,48%
14,Real Madrid,6%,54%,39%
15,Deportivo Alaves,6%,59%,35%
16,Valencia,6%,54%,40%
17,Granada,6%,52%,42%
18,Osasuna,5%,52%,43%
19,Espanyol,4%,53%,43%
20,Getafe,4%,48%,49%
