R,Team,Fouls,Unprofessional,Dive,Other
1,Valencia,90,11,0,22
2,Getafe,73,9,0,34
3,Cadiz,70,5,0,19
4,Rayo Vallecano,69,6,0,12
5,Levante,67,7,0,22
6,Mallorca,63,10,0,29
7,Athletic Bilbao,63,6,0,10
8,Atletico Madrid,63,8,0,34
9,Granada,61,8,0,30
10,Elche,61,3,0,35
11,Espanyol,59,10,0,26
12,Real Betis,58,6,0,23
13,Osasuna,56,6,0,15
14,Celta Vigo,54,11,0,15
15,Barcelona,53,5,0,25
16,Villarreal,52,9,0,8
17,Deportivo Alaves,49,6,0,20
18,Sevilla,47,7,0,32
19,Real Sociedad,47,5,0,14
20,Real Madrid,45,7,0,14
