R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Real Madrid,17,2,52,562
2,Barcelona,20,2,52,558
3,Sevilla,20,1,71,470
4,Villarreal,16,2,52,461
5,Celta Vigo,21,1,70,428
6,Real Betis,15,2,56,417
7,Real Sociedad,17,1,53,410
8,Atletico Madrid,19,2,60,407
9,Athletic Bilbao,22,1,59,351
10,Espanyol,17,1,60,345
11,Elche,19,1,63,331
12,Levante,17,1,61,330
13,Rayo Vallecano,23,1,67,329
14,Osasuna,22,0,68,310
15,Mallorca,16,1,58,306
16,Granada,18,1,70,290
17,Getafe,17,0,72,276
18,Deportivo Alaves,20,1,71,262
19,Cadiz,22,1,67,259
20,Valencia,20,1,67,251
