Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Real Madrid,17.3,6.7,12,12.8,6.88
2. Barcelona,13.8,5.2,12.5,13.3,6.80
3. Villarreal,12.1,4.4,11.9,11.9,6.72
4. Real Betis,14,5.1,10.2,12.2,6.71
5. Atletico Madrid,12.4,4.3,10.6,13,6.68
6. Sevilla,11.4,3.8,8.3,12.1,6.66
7. Real Sociedad,11.4,4,9.4,12.4,6.62
8. Celta Vigo,10.5,3.5,8.8,12,6.61
9. Athletic Bilbao,12.5,4.3,8.2,12.2,6.59
10. Rayo Vallecano,13.4,3.7,9.7,14,6.58
11. Osasuna,11.5,3.4,7,10.3,6.56
12. Getafe,11,3.1,6.5,12.9,6.56
13. Valencia,10.5,3.9,9.2,15.4,6.54
14. Espanyol,10.8,3.4,9.7,13.8,6.53
15. Elche,8.5,2.8,9,12.5,6.52
16. Cadiz,10.2,3.1,7.6,11.8,6.52
17. Granada,10.8,3.4,7.2,12.6,6.49
18. Mallorca,11.7,3.5,10.4,14.8,6.47
19. Deportivo Alaves,9.8,3,7,12.1,6.47
20. Levante,10.8,4.1,8.8,10.9,6.45
