R,Team,Left Side,Middle of the pitch,Right Side
1,Elche,43%,21%,36%
2,Real Madrid,42%,25%,33%
3,Barcelona,42%,28%,31%
4,Deportivo Alaves,41%,23%,36%
5,Osasuna,41%,24%,35%
6,Villarreal,40%,26%,34%
7,Valencia,39%,24%,37%
8,Real Betis,39%,24%,37%
9,Sevilla,39%,22%,40%
10,Getafe,39%,25%,36%
11,Real Sociedad,38%,25%,37%
12,Atletico Madrid,38%,24%,38%
13,Levante,38%,23%,39%
14,Cadiz,38%,23%,38%
15,Mallorca,37%,26%,37%
16,Espanyol,37%,26%,37%
17,Granada,37%,25%,38%
18,Athletic Bilbao,36%,23%,41%
19,Rayo Vallecano,36%,23%,41%
20,Celta Vigo,36%,24%,41%
