Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Real Madrid,10.6,14.4,8.7,10.6,2.9,6.88
2. Barcelona,9.5,15.8,8.5,13.2,2.3,6.80
3. Villarreal,10.8,14.2,8.9,12.8,2.4,6.72
4. Real Betis,10.9,17.4,9.8,12.8,1.8,6.71
5. Atletico Madrid,9.2,16.3,9.3,12.4,2.2,6.68
6. Sevilla,11.2,13.8,7.2,11.8,2.2,6.66
7. Real Sociedad,10.9,15,9.2,13,2.1,6.62
8. Celta Vigo,10.8,18.3,9.9,13.7,2.1,6.61
9. Athletic Bilbao,12,13.1,8.7,12.9,2.4,6.59
10. Rayo Vallecano,10.6,16.1,9.9,14.5,2.2,6.58
11. Osasuna,11.7,15.2,10,13.1,1.8,6.56
12. Getafe,10.8,15.7,11.1,14.9,1.5,6.56
13. Valencia,11.8,15.5,8.6,16.8,1.4,6.54
14. Espanyol,12.7,14.8,8.8,11.6,1.9,6.53
15. Elche,14.1,15.1,7.8,13.7,1.9,6.52
16. Cadiz,12.8,17.2,10.8,12.8,1.6,6.52
17. Granada,15.3,15.3,8.7,12.3,1.6,6.49
18. Mallorca,12,16.3,9,14.7,1.8,6.47
19. Deportivo Alaves,13.8,14.3,10.3,14.4,2,6.47
20. Levante,13.2,14.7,10.1,14.6,2.2,6.45
