Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Real Madrid,69,17.3,660,60.5,89.0,10.5,6.88
2. Barcelona,61,13.8,755,64.4,88.1,12.4,6.80
3. Villarreal,53,12.1,671,58.1,83.8,13.2,6.72
4. Real Betis,56,14,806,53.8,82.4,13.6,6.71
5. Atletico Madrid,59,12.4,957,51.2,81.4,15.8,6.68
6. Sevilla,49,11.4,804,59.7,84.8,15.5,6.66
7. Real Sociedad,32,11.4,614,54.2,81.9,17.7,6.62
8. Celta Vigo,36,10.5,762,55.5,79.9,16.7,6.61
9. Athletic Bilbao,39,12.5,743,47.6,77.2,15.3,6.59
10. Rayo Vallecano,33,13.4,833,49.5,77.1,18.3,6.58
11. Osasuna,34,11.5,742,44.7,73.6,22,6.56
12. Getafe,31,11,1087,41.2,72.2,19.7,6.56
13. Valencia,44,10.5,1126,43.3,71.9,15.6,6.54
14. Espanyol,37,10.8,876,46.0,81.0,11.8,6.53
15. Elche,36,8.5,935,47.1,78.9,14,6.52
16. Cadiz,29,10.2,883,39.6,72.4,16.4,6.52
17. Granada,36,10.8,944,44.4,73.7,15.3,6.49
18. Mallorca,29,11.7,907,45.5,76.5,16.8,6.47
19. Deportivo Alaves,26,9.8,712,41.6,69.8,23.8,6.47
20. Levante,41,10.8,886,46.0,77.9,12.1,6.45
