R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Deportivo Alaves,9%,58%,33%
2,Espanyol,9%,57%,35%
3,Mallorca,8%,57%,35%
4,Athletic Bilbao,8%,53%,39%
5,Barcelona,8%,58%,34%
6,Granada,8%,56%,36%
7,Levante,8%,53%,39%
8,Real Betis,7%,59%,34%
9,Valencia,7%,55%,38%
10,Osasuna,7%,52%,40%
11,Celta Vigo,7%,59%,34%
12,Rayo Vallecano,7%,56%,37%
13,Cadiz,7%,56%,37%
14,Real Madrid,6%,57%,37%
15,Atletico Madrid,6%,53%,41%
16,Real Sociedad,6%,52%,42%
17,Villarreal,6%,55%,39%
18,Elche,6%,56%,38%
19,Sevilla,5%,54%,41%
20,Getafe,4%,57%,39%
