R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Levante,45,3,13,4,0
2,Deportivo Alaves,35,1,14,5,0
3,Granada,34,1,12,7,2
4,Mallorca,33,4,7,6,4
5,Espanyol,28,3,8,4,2
6,Real Betis,27,2,4,3,2
7,Elche,27,4,7,6,0
8,Celta Vigo,26,3,3,4,1
9,Getafe,26,2,6,2,1
10,Valencia,25,4,9,7,3
11,Cadiz,24,0,13,9,0
12,Rayo Vallecano,23,2,5,7,1
13,Osasuna,23,5,11,4,1
14,Real Madrid,22,0,5,2,0
15,Athletic Bilbao,22,3,5,3,1
16,Villarreal,22,2,2,4,1
17,Atletico Madrid,20,2,9,6,2
18,Barcelona,18,3,9,2,0
19,Sevilla,17,1,7,2,0
20,Real Sociedad,15,3,9,4,0
