R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Cadiz,21,1,58,451
2,Getafe,20,1,72,428
3,Espanyol,24,2,56,414
4,Osasuna,19,1,67,408
5,Deportivo Alaves,22,2,69,403
6,Levante,19,1,61,397
7,Granada,22,2,61,388
8,Atletico Madrid,16,1,63,386
9,Elche,21,2,58,383
10,Mallorca,18,1,59,378
11,Athletic Bilbao,20,1,77,378
12,Valencia,18,1,64,362
13,Real Betis,21,1,57,345
14,Real Madrid,17,1,53,340
15,Rayo Vallecano,17,1,68,340
16,Celta Vigo,16,1,65,335
17,Real Sociedad,17,1,62,327
18,Villarreal,19,1,59,305
19,Sevilla,18,1,60,301
20,Barcelona,14,1,57,277
