Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Real Madrid,17.3,6.8,1.1,9.4,6.88
2. Barcelona,13.8,4.4,1.3,8.2,6.80
3. Villarreal,12.1,2.9,1.2,8,6.72
4. Real Betis,14,5.4,1.2,7.4,6.71
5. Atletico Madrid,12.4,4.1,1.2,7.1,6.68
6. Sevilla,11.4,3.5,0.8,7.1,6.66
7. Real Sociedad,11.4,3.5,0.8,7.1,6.62
8. Celta Vigo,10.5,4.2,0.7,5.6,6.61
9. Athletic Bilbao,12.5,3.9,0.9,7.8,6.59
10. Rayo Vallecano,13.4,5.5,1.2,6.8,6.58
11. Osasuna,11.5,5,0.5,6,6.56
12. Getafe,11,5.3,0.4,5.2,6.56
13. Valencia,10.5,4.2,0.6,5.6,6.54
14. Espanyol,10.8,4.7,0.4,5.7,6.53
15. Cadiz,10.2,3.7,0.9,5.6,6.52
16. Elche,8.5,3.1,0.6,4.8,6.52
17. Granada,10.8,4.5,0.6,5.6,6.49
18. Deportivo Alaves,9.8,3.4,0.6,5.8,6.47
19. Mallorca,11.7,5.6,0.7,5.4,6.47
20. Levante,10.8,3.6,0.8,6.4,6.45
