R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Wolfsburg,9%,52%,39%
2,Werder Bremen,9%,47%,44%
3,Schalke 04,9%,57%,33%
4,Bayer Leverkusen,7%,49%,44%
5,Bayern Munich,7%,54%,39%
6,Hertha Berlin,7%,55%,38%
7,VfB Stuttgart,7%,55%,39%
8,Augsburg,7%,46%,47%
9,FC Koln,7%,49%,44%
10,Freiburg,6%,50%,44%
11,Hannover 96,6%,49%,45%
12,Hoffenheim,6%,46%,48%
13,Borussia M.Gladbach,5%,49%,46%
14,Mainz 05,5%,53%,42%
15,Borussia Dortmund,4%,59%,37%
16,Nuernberg,4%,51%,46%
17,Hamburger SV,3%,58%,39%
18,Kaiserslautern,3%,49%,48%
