R,Team,Left Side,Attempts from the middle,Right Side
1,Borussia M.Gladbach,26%,52%,22%
2,Nuernberg,23%,56%,21%
3,Augsburg,22%,56%,22%
4,FC Koln,22%,59%,18%
5,VfB Stuttgart,21%,61%,18%
6,Werder Bremen,21%,65%,14%
7,Hoffenheim,21%,55%,24%
8,Mainz 05,21%,60%,19%
9,Hamburger SV,20%,59%,21%
10,Kaiserslautern,20%,63%,18%
11,Hannover 96,20%,59%,21%
12,Bayern Munich,19%,62%,19%
13,Hertha Berlin,19%,62%,19%
14,Borussia Dortmund,18%,71%,11%
15,Freiburg,17%,64%,19%
16,Wolfsburg,16%,66%,17%
17,Schalke 04,16%,69%,15%
18,Bayer Leverkusen,15%,68%,17%
