R,Team,Own Third,Middle Third,Opposition Third
1,Borussia M.Gladbach,30%,48%,21%
2,FC Koln,30%,48%,23%
3,Kaiserslautern,29%,46%,26%
4,VfB Stuttgart,28%,46%,26%
5,Hannover 96,28%,45%,27%
6,Bayer Leverkusen,27%,48%,26%
7,Werder Bremen,27%,47%,27%
8,Hertha Berlin,27%,48%,25%
9,Mainz 05,27%,44%,28%
10,Augsburg,27%,45%,27%
11,Hamburger SV,26%,46%,27%
12,Nuernberg,26%,46%,28%
13,Freiburg,26%,46%,29%
14,Hoffenheim,26%,48%,27%
15,Wolfsburg,25%,44%,32%
16,Schalke 04,24%,49%,27%
17,Borussia Dortmund,24%,48%,29%
18,Bayern Munich,23%,46%,31%
