R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Borussia Dortmund,49,11,19,1,0
2,Bayern Munich,46,6,14,9,2
3,Schalke 04,40,11,17,6,0
4,VfB Stuttgart,36,1,21,5,0
5,Borussia M.Gladbach,30,7,9,3,0
6,Bayer Leverkusen,28,5,17,1,1
7,Freiburg,28,3,10,3,1
8,Werder Bremen,25,5,16,3,0
9,Mainz 05,24,7,10,5,1
10,Wolfsburg,23,6,13,2,3
11,Hertha Berlin,20,7,9,1,1
12,Nuernberg,20,2,13,3,0
13,Hamburger SV,19,2,11,3,0
14,Hoffenheim,19,4,7,8,3
15,FC Koln,18,9,9,3,0
16,Augsburg,18,3,11,4,0
17,Hannover 96,17,3,13,5,3
18,Kaiserslautern,12,1,7,1,3
