R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Freiburg,9%,51%,40%
2,Mainz 05,8%,47%,45%
3,Wolfsburg,7%,61%,33%
4,Hertha Berlin,7%,52%,41%
5,Werder Bremen,7%,50%,42%
6,Kaiserslautern,7%,53%,40%
7,Nuernberg,7%,49%,44%
8,Bayer Leverkusen,6%,52%,42%
9,VfB Stuttgart,6%,48%,45%
10,Borussia Dortmund,6%,55%,39%
11,FC Koln,6%,52%,42%
12,Hoffenheim,6%,54%,40%
13,Hamburger SV,5%,51%,44%
14,Hannover 96,5%,52%,43%
15,Augsburg,5%,55%,39%
16,Bayern Munich,4%,49%,47%
17,Borussia M.Gladbach,4%,42%,54%
18,Schalke 04,3%,57%,40%
