R,Team,Fouls,Unprofessional,Dive,Other
1,Hoffenheim,60,4,1,9
2,Nuernberg,57,3,0,15
3,Wolfsburg,53,2,2,12
4,Kaiserslautern,53,4,0,17
5,Augsburg,53,0,1,15
6,FC Koln,53,6,1,14
7,Hertha Berlin,52,7,0,18
8,Schalke 04,51,1,2,12
9,Hannover 96,50,1,1,16
10,VfB Stuttgart,48,0,1,19
11,Werder Bremen,48,2,1,20
12,Hamburger SV,42,3,1,20
13,Freiburg,42,3,2,11
14,Mainz 05,40,2,1,9
15,Borussia M.Gladbach,39,0,2,10
16,Bayern Munich,37,4,2,3
17,Bayer Leverkusen,36,3,0,13
18,Borussia Dortmund,28,3,0,6
