R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Real Madrid,45,6,10,8,0
2,Barcelona,45,3,7,6,0
3,Atletico Madrid,40,6,8,3,2
4,Real Betis,37,2,9,6,2
5,Villarreal,32,6,9,5,1
6,Elche,30,1,3,1,1
7,Celta Vigo,29,1,3,3,0
8,Sevilla,29,3,13,2,2
9,Levante,25,6,3,7,0
10,Athletic Bilbao,22,2,11,2,2
11,Valencia,22,2,10,8,2
12,Rayo Vallecano,22,1,6,3,1
13,Espanyol,22,1,9,4,1
14,Osasuna,22,0,7,5,0
15,Getafe,19,2,6,3,1
16,Granada,17,3,12,3,1
17,Real Sociedad,16,1,8,7,0
18,Cadiz,15,1,10,3,0
19,Deportivo Alaves,13,0,5,6,2
20,Mallorca,10,1,9,6,3
