R,Team,Left Side,Attempts from the middle,Right Side
1,Osasuna,23%,61%,16%
2,Barcelona,21%,67%,13%
3,Getafe,21%,66%,13%
4,Mallorca,20%,65%,15%
5,Deportivo Alaves,20%,65%,15%
6,Athletic Bilbao,20%,62%,18%
7,Real Betis,20%,63%,16%
8,Real Sociedad,20%,63%,17%
9,Villarreal,20%,62%,18%
10,Valencia,19%,64%,18%
11,Atletico Madrid,19%,62%,19%
12,Espanyol,19%,61%,21%
13,Real Madrid,18%,66%,16%
14,Rayo Vallecano,18%,64%,17%
15,Sevilla,17%,66%,17%
16,Cadiz,17%,69%,14%
17,Elche,17%,67%,16%
18,Levante,17%,68%,15%
19,Celta Vigo,16%,72%,13%
20,Granada,15%,71%,14%
