R,Team,Own Third,Middle Third,Opposition Third
1,Espanyol,32%,43%,25%
2,Elche,32%,44%,23%
3,Sevilla,31%,43%,27%
4,Granada,31%,43%,26%
5,Cadiz,31%,44%,26%
6,Deportivo Alaves,29%,44%,28%
7,Levante,29%,44%,26%
8,Mallorca,28%,44%,28%
9,Valencia,28%,42%,30%
10,Rayo Vallecano,28%,43%,29%
11,Real Sociedad,28%,42%,29%
12,Villarreal,28%,42%,30%
13,Real Madrid,27%,40%,32%
14,Real Betis,27%,44%,28%
15,Celta Vigo,27%,46%,28%
16,Osasuna,27%,43%,31%
17,Athletic Bilbao,26%,42%,32%
18,Atletico Madrid,26%,45%,29%
19,Getafe,26%,47%,28%
20,Barcelona,24%,45%,31%
